Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression_RegistrationValidation,Chrome 67.0.3396.99,,2018-07-12 15:20:56,2018-07-12 15:21:17,20.807s,PASSED
,,,,,,
Test Cases/Registration_ValidateForm/Verify_InvalidEmail,Chrome 67.0.3396.99,,2018-07-12 15:20:56,2018-07-12 15:21:09,13.076s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 15:20:56,2018-07-12 15:21:08,11.338s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 15:21:08,2018-07-12 15:21:08,0.267s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:08,2018-07-12 15:21:08,0.369s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:08,2018-07-12 15:21:09,0.371s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:09,2018-07-12 15:21:09,0.196s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:09,2018-07-12 15:21:09,0.083s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:09,2018-07-12 15:21:09,0.152s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:09,2018-07-12 15:21:09,0.042s,PASSED
,,,,,,
Test Cases/Registration_ValidateForm/Verify_MaximumChar_Email,Chrome 67.0.3396.99,,2018-07-12 15:21:09,2018-07-12 15:21:10,0.961s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:09,2018-07-12 15:21:10,0.584s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:10,2018-07-12 15:21:10,0.105s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:10,2018-07-12 15:21:10,0.022s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:10,2018-07-12 15:21:10,0.033s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:10,2018-07-12 15:21:10,0.030s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:10,2018-07-12 15:21:10,0.034s,PASSED
,,,,,,
Test Cases/Registration_ValidateForm/Verify_MaximumChar_FirstName,Chrome 67.0.3396.99,,2018-07-12 15:21:10,2018-07-12 15:21:11,1.007s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:10,2018-07-12 15:21:10,0.264s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:10,2018-07-12 15:21:11,0.369s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:11,2018-07-12 15:21:11,0.153s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:11,2018-07-12 15:21:11,0.026s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:11,2018-07-12 15:21:11,0.034s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:11,2018-07-12 15:21:11,0.033s,PASSED
,,,,,,
Test Cases/Registration_ValidateForm/Verify_MaximumChar_LastName,Chrome 67.0.3396.99,,2018-07-12 15:21:11,2018-07-12 15:21:12,0.760s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:11,2018-07-12 15:21:11,0.080s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:11,2018-07-12 15:21:12,0.336s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.161s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.021s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.043s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.031s,PASSED
,,,,,,
Test Cases/Registration_ValidateForm/Verify_MinimumChar_KN,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.584s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.110s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.067s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.187s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.024s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.041s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:12,0.032s,PASSED
,,,,,,
Test Cases/Registration_ValidateForm/Verify_MaximumChar_KN,Chrome 67.0.3396.99,,2018-07-12 15:21:12,2018-07-12 15:21:13,0.619s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:13,2018-07-12 15:21:13,0.308s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:13,2018-07-12 15:21:13,0.127s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:13,2018-07-12 15:21:13,0.030s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:13,2018-07-12 15:21:13,0.045s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:13,2018-07-12 15:21:13,0.032s,PASSED
,,,,,,
